Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall_amount,Period over which rainfall was measured (days),Quality
IDCJAC0009,87031,2008,9,23,6,1,N
IDCJAC0009,87031,2008,9,24,0.2,1,N
IDCJAC0009,87031,2008,9,25,0,1,N
IDCJAC0009,87031,2008,9,26,0,1,N
IDCJAC0009,87031,2008,9,27,0,1,N
IDCJAC0009,87031,2008,9,28,0,1,N
IDCJAC0009,87031,2008,9,29,0.4,1,N
IDCJAC0009,87031,2008,9,30,0,1,N
IDCJAC0009,87031,2008,10,1,0,1,N
IDCJAC0009,87031,2008,10,2,0,1,N
IDCJAC0009,87031,2008,10,3,0,1,N
IDCJAC0009,87031,2008,10,4,4.2,1,N
IDCJAC0009,87031,2008,10,5,0.2,1,N
IDCJAC0009,87031,2008,10,6,0.6,1,N
IDCJAC0009,87031,2008,10,7,8.4,1,N
IDCJAC0009,87031,2008,10,8,0,1,N
IDCJAC0009,87031,2008,10,9,0,,
IDCJAC0009,87031,2008,10,10,0,1,N
IDCJAC0009,87031,2008,10,11,0,1,N
IDCJAC0009,87031,2008,10,12,0,1,N
IDCJAC0009,87031,2008,10,13,0,1,N
IDCJAC0009,87031,2008,10,14,0,1,N
IDCJAC0009,87031,2008,10,15,0,1,N
IDCJAC0009,87031,2008,10,16,0,1,N
IDCJAC0009,87031,2008,10,17,0,1,N
IDCJAC0009,87031,2008,10,18,0,1,N
IDCJAC0009,87031,2008,10,19,0,1,N
IDCJAC0009,87031,2008,10,20,0,1,N
IDCJAC0009,87031,2008,10,21,0,1,N
IDCJAC0009,87031,2008,10,22,1.4,1,N
IDCJAC0009,87031,2008,10,23,0,1,N
IDCJAC0009,87031,2008,10,24,0,1,N
IDCJAC0009,87031,2008,10,25,0,1,N
IDCJAC0009,87031,2008,10,26,0,1,N
IDCJAC0009,87031,2008,10,27,0,1,N
IDCJAC0009,87031,2008,10,28,1.6,1,N
IDCJAC0009,87031,2008,10,29,0,1,N
IDCJAC0009,87031,2008,10,30,0.4,1,N
IDCJAC0009,87031,2008,10,31,0.6,1,N
IDCJAC0009,87031,2008,11,1,0,1,N
IDCJAC0009,87031,2008,11,2,0,1,N
IDCJAC0009,87031,2008,11,3,0.4,1,N
IDCJAC0009,87031,2008,11,4,0,1,N
IDCJAC0009,87031,2008,11,5,0,1,N
IDCJAC0009,87031,2008,11,6,0,1,N
IDCJAC0009,87031,2008,11,7,0,1,N
IDCJAC0009,87031,2008,11,8,9.4,1,N
IDCJAC0009,87031,2008,11,9,0,1,N
IDCJAC0009,87031,2008,11,10,0,1,N
IDCJAC0009,87031,2008,11,11,0,1,N
