"date","rainfall_amount"
2009-05-04,0
2009-05-05,0
2009-05-06,0
2009-05-07,1.4
2009-05-08,2.2
2009-05-09,0.2
2009-05-10,0
2009-05-11,0
2009-05-12,0
2009-05-13,0
2009-05-14,0
2009-05-15,0
2009-05-16,0
2009-05-17,0
2009-05-18,0
2009-05-19,56.6
2009-05-20,89
2009-05-21,76.2
2009-05-22,0
2009-05-23,5.4
2009-05-24,2.2
2009-05-25,2.2
2009-05-26,0
2009-05-27,0
2009-05-28,0
2009-05-29,0
2009-05-30,5.2
2009-05-31,0.2
2009-06-01,2
2009-06-02,4.2
2009-06-03,6
2009-06-04,1.4
2009-06-05,1.2
2009-06-06,0
2009-06-07,0.2
2009-06-08,1.2
2009-06-09,0
2009-06-10,0
2009-06-11,0
2009-06-12,0
2009-06-13,0
2009-06-14,0
2009-06-15,0
2009-06-16,0.4
2009-06-17,0
2009-06-18,0
2009-06-19,0
2009-06-20,0
2009-06-21,0.4
2009-06-22,24.4
2009-06-23,31.2
2009-06-24,0
2009-06-25,0.2
2009-06-26,0
2009-06-27,14.8
2009-06-28,0
2009-06-29,0
2009-06-30,0
2009-07-01,0
2009-07-02,0
2009-07-03,0
2009-07-04,0
2009-07-05,0
2009-07-06,0
2009-07-07,0
2009-07-08,3.4
2009-07-09,0
2009-07-10,0
2009-07-11,0
2009-07-12,0
2009-07-13,0
2009-07-14,0
2009-07-15,0
2009-07-16,0
2009-07-17,0
2009-07-18,0
2009-07-19,0
2009-07-20,0
2009-07-21,0
2009-07-22,0
2009-07-23,0
2009-07-24,0
2009-07-25,0
2009-07-26,0
2009-07-27,0.2
2009-07-28,0
2009-07-29,0
2009-07-30,0
2009-07-31,0
2009-08-01,0
2009-08-02,0
2009-08-03,0
2009-08-04,0
2009-08-05,0
2009-08-06,0
2009-08-07,0
2009-08-08,0
2009-08-09,0
2009-08-10,0
2009-08-11,0
2009-08-12,0
2009-08-13,2.8
2009-08-14,0
2009-08-15,0
2009-08-16,0
2009-08-17,0
2009-08-18,0.2
2009-08-19,0
2009-08-20,0
2009-08-21,0
2009-08-22,0
2009-08-23,0
2009-08-24,0
2009-08-25,0
2009-08-26,0
2009-08-27,0
2009-08-28,0
2009-08-29,0
2009-08-30,0
2009-08-31,1
2009-09-01,0.2
2009-09-02,0
2009-09-03,0
2009-09-04,0
2009-09-05,7.8
2009-09-06,0
2009-09-07,0
